I<suv>d</sub> V<sub>d</sub> = 5.0 V X,I<suv>d</sub> V<sub>d</sub> = 5.0 V Y,g<sub>m</sub> V<sub>d</sub> = 5.0 V X,g<sub>m</sub> V<sub>d</sub> = 5.0 V Y
2,1.116148,2,0.11652169
1.65,1.0753654,1.65,0.14940603
1.3,1.0115638,1.3,0.20422974
0.95,0.93240462,0.95,0.23661439
0.6,0.84593373,0.6,0.25380678
0.25,0.75473987,0.25,0.26558606
-0.1,0.66002349,-0.1,0.2741608
-0.45,0.56282731,-0.45,0.2794924
-0.8,0.46437881,-0.8,0.28022139
-1.15,0.36667234,-1.15,0.27350262
-1.5,0.27292698,-1.5,0.25652103
-1.85,0.18710761,-1.85,0.22846971
-2.2,0.11299819,-2.2,0.18923617
-2.55,0.054642293,-2.55,0.13231136
-2.9,0.02038023,-2.9,0.060563575
-3.25,0.01224779,-3.25,0.01579906
-3.6,0.0093208875,-3.6,0.0066006074
-3.95,0.0076273652,-3.95,0.0041879517
-4.3,0.0063893213,-4.3,0.0032292923
-4.65,0.0053668606,-4.65,0.0026706503
-5,0.0045198661,-5,0.0024199842

